n:108 mse_avg:643.85 mse_y:927.96 mse_u:100.34 mse_v:50.90 psnr_avg:20.04 psnr_y:18.46 psnr_u:28.12 psnr_v:31.06 
n:109 mse_avg:646.94 mse_y:932.33 mse_u:101.42 mse_v:50.93 psnr_avg:20.02 psnr_y:18.44 psnr_u:28.07 psnr_v:31.06 
n:110 mse_avg:661.08 mse_y:953.72 mse_u:100.78 mse_v:50.84 psnr_avg:19.93 psnr_y:18.34 psnr_u:28.10 psnr_v:31.07 
n:111 mse_avg:663.47 mse_y:957.03 mse_u:101.87 mse_v:50.81 psnr_avg:19.91 psnr_y:18.32 psnr_u:28.05 psnr_v:31.07 
n:112 mse_avg:641.18 mse_y:923.21 mse_u:102.41 mse_v:51.83 psnr_avg:20.06 psnr_y:18.48 psnr_u:28.03 psnr_v:30.99 
n:113 mse_avg:647.39 mse_y:932.03 mse_u:104.07 mse_v:52.15 psnr_avg:20.02 psnr_y:18.44 psnr_u:27.96 psnr_v:30.96 
n:114 mse_avg:664.91 mse_y:958.18 mse_u:103.73 mse_v:52.97 psnr_avg:19.90 psnr_y:18.32 psnr_u:27.97 psnr_v:30.89 
n:115 mse_avg:664.49 mse_y:957.44 mse_u:104.39 mse_v:52.75 psnr_avg:19.91 psnr_y:18.32 psnr_u:27.94 psnr_v:30.91 
n:116 mse_avg:660.63 mse_y:951.61 mse_u:104.71 mse_v:52.62 psnr_avg:19.93 psnr_y:18.35 psnr_u:27.93 psnr_v:30.92 
n:117 mse_avg:670.57 mse_y:966.02 mse_u:107.02 mse_v:52.34 psnr_avg:19.87 psnr_y:18.28 psnr_u:27.84 psnr_v:30.94 
n:118 mse_avg:671.53 mse_y:967.90 mse_u:106.00 mse_v:51.60 psnr_avg:19.86 psnr_y:18.27 psnr_u:27.88 psnr_v:31.00 
n:119 mse_avg:663.63 mse_y:955.56 mse_u:106.93 mse_v:52.60 psnr_avg:19.91 psnr_y:18.33 psnr_u:27.84 psnr_v:30.92 
n:120 mse_avg:679.47 mse_y:978.86 mse_u:108.19 mse_v:53.19 psnr_avg:19.81 psnr_y:18.22 psnr_u:27.79 psnr_v:30.87 
n:121 mse_avg:668.03 mse_y:961.92 mse_u:107.50 mse_v:53.02 psnr_avg:19.88 psnr_y:18.30 psnr_u:27.82 psnr_v:30.89 
